[2025-10-04 15:21:16] Dispositivo: Pico W_11f0bb, Leitura: 161, Horario: 2025-10-04 15:21:16, Temp: 27.1, Umid: 51.0
[2025-10-04 15:21:38] Dispositivo: Pico W_11f0bb, Leitura: 162, Horario: 2025-10-04 15:21:38, Temp: 27.1, Umid: 51.0
[2025-10-04 15:22:00] Dispositivo: Pico W_11f0bb, Leitura: 163, Horario: 2025-10-04 15:22:01, Temp: 27.1, Umid: 51.0
[2025-10-04 15:22:23] Dispositivo: Pico W_11f0bb, Leitura: 164, Horario: 2025-10-04 15:22:23, Temp: 27.1, Umid: 51.1
[2025-10-04 15:22:45] Dispositivo: Pico W_11f0bb, Leitura: 165, Horario: 2025-10-04 15:22:45, Temp: 27.2, Umid: 51.1
[2025-10-04 15:23:07] Dispositivo: Pico W_11f0bb, Leitura: 166, Horario: 2025-10-04 15:23:08, Temp: 27.2, Umid: 51.1
[2025-10-04 15:23:30] Dispositivo: Pico W_11f0bb, Leitura: 167, Horario: 2025-10-04 15:23:30, Temp: 27.1, Umid: 51.1
[2025-10-04 15:23:52] Dispositivo: Pico W_11f0bb, Leitura: 168, Horario: 2025-10-04 15:23:52, Temp: 27.1, Umid: 51.2
[2025-10-04 15:24:14] Dispositivo: Pico W_11f0bb, Leitura: 169, Horario: 2025-10-04 15:24:14, Temp: 27.1, Umid: 51.2
[2025-10-04 15:24:36] Dispositivo: Pico W_11f0bb, Leitura: 170, Horario: 2025-10-04 15:24:37, Temp: 27.1, Umid: 51.2
[2025-10-04 15:24:59] Dispositivo: Pico W_11f0bb, Leitura: 171, Horario: 2025-10-04 15:24:59, Temp: 27.1, Umid: 51.3
[2025-10-04 15:25:21] Dispositivo: Pico W_11f0bb, Leitura: 172, Horario: 2025-10-04 15:25:21, Temp: 27.1, Umid: 51.2
[2025-10-04 15:25:43] Dispositivo: Pico W_11f0bb, Leitura: 173, Horario: 2025-10-04 15:25:44, Temp: 27.1, Umid: 51.3
[2025-10-04 15:26:06] Dispositivo: Pico W_11f0bb, Leitura: 174, Horario: 2025-10-04 15:26:06, Temp: 27.1, Umid: 51.3
[2025-10-04 15:26:28] Dispositivo: Pico W_11f0bb, Leitura: 175, Horario: 2025-10-04 15:26:28, Temp: 27.1, Umid: 51.3
