[2025-10-01 11:55:33] Dispositivo: Pico W_11f60f, Leitura: 63, Horario: 2025-10-01 11:55:33, Temp: 32.0, Umid: 37.0
[2025-10-01 11:55:51] Dispositivo: Pico W_11f0bb, Leitura: 63, Horario: 2025-10-01 11:55:51, Temp: 32.6, Umid: 37.2
[2025-10-01 11:58:35] Dispositivo: Pico W_11f60f, Leitura: 64, Horario: 2025-10-01 11:58:36, Temp: 31.8, Umid: 39.2
[2025-10-01 11:58:53] Dispositivo: Pico W_11f0bb, Leitura: 64, Horario: 2025-10-01 11:58:54, Temp: 32.4, Umid: 38.9
[2025-10-01 12:01:37] Dispositivo: Pico W_11f60f, Leitura: 65, Horario: 2025-10-01 12:01:38, Temp: 31.6, Umid: 38.7
[2025-10-01 12:01:56] Dispositivo: Pico W_11f0bb, Leitura: 65, Horario: 2025-10-01 12:01:56, Temp: 32.0, Umid: 39.3
[2025-10-01 12:04:40] Dispositivo: Pico W_11f60f, Leitura: 66, Horario: 2025-10-01 12:04:40, Temp: 31.5, Umid: 39.5
[2025-10-01 12:04:58] Dispositivo: Pico W_11f0bb, Leitura: 66, Horario: 2025-10-01 12:04:58, Temp: 31.8, Umid: 40.1
[2025-10-01 12:07:42] Dispositivo: Pico W_11f60f, Leitura: 67, Horario: 2025-10-01 12:07:43, Temp: 31.3, Umid: 37.7
[2025-10-01 12:08:00] Dispositivo: Pico W_11f0bb, Leitura: 67, Horario: 2025-10-01 12:08:01, Temp: 31.7, Umid: 38.6
[2025-10-01 12:10:44] Dispositivo: Pico W_11f60f, Leitura: 68, Horario: 2025-10-01 12:10:45, Temp: 31.1, Umid: 39.3
[2025-10-01 12:11:02] Dispositivo: Pico W_11f0bb, Leitura: 68, Horario: 2025-10-01 12:11:03, Temp: 31.4, Umid: 38.2
[2025-10-01 12:13:47] Dispositivo: Pico W_11f60f, Leitura: 69, Horario: 2025-10-01 12:13:47, Temp: 31.1, Umid: 38.0
[2025-10-01 12:14:05] Dispositivo: Pico W_11f0bb, Leitura: 69, Horario: 2025-10-01 12:14:05, Temp: 31.4, Umid: 38.9
[2025-10-01 12:16:49] Dispositivo: Pico W_11f60f, Leitura: 70, Horario: 2025-10-01 12:16:49, Temp: 31.0, Umid: 40.6
[2025-10-01 12:17:07] Dispositivo: Pico W_11f0bb, Leitura: 70, Horario: 2025-10-01 12:17:08, Temp: 31.4, Umid: 40.5
[2025-10-01 12:19:51] Dispositivo: Pico W_11f60f, Leitura: 71, Horario: 2025-10-01 12:19:52, Temp: 31.1, Umid: 39.6
[2025-10-01 12:20:09] Dispositivo: Pico W_11f0bb, Leitura: 71, Horario: 2025-10-01 12:20:10, Temp: 31.5, Umid: 39.8
[2025-10-01 12:22:54] Dispositivo: Pico W_11f60f, Leitura: 72, Horario: 2025-10-01 12:22:54, Temp: 31.1, Umid: 38.3
[2025-10-01 12:23:12] Dispositivo: Pico W_11f0bb, Leitura: 72, Horario: 2025-10-01 12:23:12, Temp: 31.5, Umid: 38.7
[2025-10-01 12:25:56] Dispositivo: Pico W_11f60f, Leitura: 73, Horario: 2025-10-01 12:25:56, Temp: 31.2, Umid: 39.2
[2025-10-01 12:26:14] Dispositivo: Pico W_11f0bb, Leitura: 73, Horario: 2025-10-01 12:26:15, Temp: 31.5, Umid: 40.5
[2025-10-01 12:28:58] Dispositivo: Pico W_11f60f, Leitura: 74, Horario: 2025-10-01 12:28:59, Temp: 31.3, Umid: 39.9
[2025-10-01 12:29:16] Dispositivo: Pico W_11f0bb, Leitura: 74, Horario: 2025-10-01 12:29:17, Temp: 31.7, Umid: 40.6
[2025-10-01 12:32:00] Dispositivo: Pico W_11f60f, Leitura: 75, Horario: 2025-10-01 12:32:01, Temp: 31.3, Umid: 38.5
[2025-10-01 12:32:19] Dispositivo: Pico W_11f0bb, Leitura: 75, Horario: 2025-10-01 12:32:19, Temp: 31.8, Umid: 38.5
[2025-10-01 12:35:03] Dispositivo: Pico W_11f60f, Leitura: 76, Horario: 2025-10-01 12:35:03, Temp: 31.5, Umid: 38.0
[2025-10-01 12:35:21] Dispositivo: Pico W_11f0bb, Leitura: 76, Horario: 2025-10-01 12:35:21, Temp: 31.9, Umid: 37.6
[2025-10-01 12:38:05] Dispositivo: Pico W_11f60f, Leitura: 77, Horario: 2025-10-01 12:38:06, Temp: 31.6, Umid: 38.5
[2025-10-01 12:38:23] Dispositivo: Pico W_11f0bb, Leitura: 77, Horario: 2025-10-01 12:38:24, Temp: 32.0, Umid: 37.8
[2025-10-01 12:41:26] Dispositivo: Pico W_11f0bb, Leitura: 78, Horario: 2025-10-01 12:41:26, Temp: 31.8, Umid: 40.6
[2025-10-01 12:44:28] Dispositivo: Pico W_11f0bb, Leitura: 79, Horario: 2025-10-01 12:44:28, Temp: 31.7, Umid: 41.7
[2025-10-01 13:51:37] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-10-01 13:51:37, Temp: 31.2, Umid: 41.7
[2025-10-01 13:51:39] Dispositivo: Pico W_11f0bb, Leitura: 1, Horario: 2025-10-01 13:51:40, Temp: 30.1, Umid: 48.1
[2025-10-01 13:54:39] Dispositivo: Pico W_11f60f, Leitura: 2, Horario: 2025-10-01 13:54:39, Temp: 29.7, Umid: 48.1
[2025-10-01 13:54:42] Dispositivo: Pico W_11f0bb, Leitura: 2, Horario: 2025-10-01 13:54:42, Temp: 29.8, Umid: 48.2
[2025-10-01 13:57:42] Dispositivo: Pico W_11f60f, Leitura: 3, Horario: 2025-10-01 13:57:41, Temp: 29.6, Umid: 48.2
[2025-10-01 13:57:44] Dispositivo: Pico W_11f0bb, Leitura: 3, Horario: 2025-10-01 13:57:44, Temp: 29.7, Umid: 48.6
[2025-10-01 13:58:30] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-10-01 13:58:30, Temp: 29.6, Umid: 48.9
[2025-10-01 14:00:46] Dispositivo: Pico W_11f0bb, Leitura: 4, Horario: 2025-10-01 14:00:47, Temp: 29.6, Umid: 48.8
[2025-10-01 14:01:33] Dispositivo: Pico W_11f60f, Leitura: 2, Horario: 2025-10-01 14:01:33, Temp: 29.6, Umid: 49.0
