[2025-10-02 10:17:12] Dispositivo: Pico W_11f60f, Leitura: 101, Horario: 2025-10-02 10:17:13, Temp: 23.4, Umid: 62.4
[2025-10-02 10:17:35] Dispositivo: Pico W_11f60f, Leitura: 102, Horario: 2025-10-02 10:17:35, Temp: 23.4, Umid: 62.5
[2025-10-02 10:17:57] Dispositivo: Pico W_11f60f, Leitura: 103, Horario: 2025-10-02 10:17:57, Temp: 23.3, Umid: 62.7
[2025-10-02 10:18:19] Dispositivo: Pico W_11f60f, Leitura: 104, Horario: 2025-10-02 10:18:20, Temp: 23.3, Umid: 62.8
[2025-10-02 10:18:42] Dispositivo: Pico W_11f60f, Leitura: 105, Horario: 2025-10-02 10:18:42, Temp: 23.3, Umid: 62.9
[2025-10-02 10:18:49] Dispositivo: Pico W_11f0bb, Leitura: 44, Horario: 2025-10-02 10:18:49, Temp: 25.4, Umid: 55.9
[2025-10-02 10:19:04] Dispositivo: Pico W_11f60f, Leitura: 106, Horario: 2025-10-02 10:19:04, Temp: 23.3, Umid: 63.0
[2025-10-02 10:19:26] Dispositivo: Pico W_11f60f, Leitura: 107, Horario: 2025-10-02 10:19:27, Temp: 23.3, Umid: 63.1
[2025-10-02 10:19:49] Dispositivo: Pico W_11f60f, Leitura: 108, Horario: 2025-10-02 10:19:49, Temp: 23.3, Umid: 63.2
[2025-10-02 10:20:11] Dispositivo: Pico W_11f60f, Leitura: 109, Horario: 2025-10-02 10:20:11, Temp: 23.3, Umid: 63.2
[2025-10-02 10:20:33] Dispositivo: Pico W_11f60f, Leitura: 110, Horario: 2025-10-02 10:20:34, Temp: 23.3, Umid: 63.1
[2025-10-02 10:20:55] Dispositivo: Pico W_11f60f, Leitura: 111, Horario: 2025-10-02 10:20:56, Temp: 23.3, Umid: 62.9
[2025-10-02 10:21:18] Dispositivo: Pico W_11f60f, Leitura: 112, Horario: 2025-10-02 10:21:18, Temp: 23.3, Umid: 63.0
[2025-10-02 10:21:40] Dispositivo: Pico W_11f60f, Leitura: 113, Horario: 2025-10-02 10:21:41, Temp: 23.3, Umid: 63.4
[2025-10-02 10:21:51] Dispositivo: Pico W_11f0bb, Leitura: 45, Horario: 2025-10-02 10:21:52, Temp: 25.6, Umid: 55.5
[2025-10-02 10:22:02] Dispositivo: Pico W_11f60f, Leitura: 114, Horario: 2025-10-02 10:22:03, Temp: 23.3, Umid: 63.4
[2025-10-02 10:22:25] Dispositivo: Pico W_11f60f, Leitura: 115, Horario: 2025-10-02 10:22:25, Temp: 23.4, Umid: 63.4
[2025-10-02 10:22:47] Dispositivo: Pico W_11f60f, Leitura: 116, Horario: 2025-10-02 10:22:47, Temp: 23.4, Umid: 63.4
[2025-10-02 10:23:09] Dispositivo: Pico W_11f60f, Leitura: 117, Horario: 2025-10-02 10:23:10, Temp: 23.4, Umid: 63.5
[2025-10-02 10:23:32] Dispositivo: Pico W_11f60f, Leitura: 118, Horario: 2025-10-02 10:23:32, Temp: 23.4, Umid: 63.4
[2025-10-02 10:23:54] Dispositivo: Pico W_11f60f, Leitura: 119, Horario: 2025-10-02 10:23:54, Temp: 23.4, Umid: 63.1
[2025-10-02 10:24:16] Dispositivo: Pico W_11f60f, Leitura: 120, Horario: 2025-10-02 10:24:17, Temp: 23.5, Umid: 63.3
[2025-10-02 10:24:39] Dispositivo: Pico W_11f60f, Leitura: 121, Horario: 2025-10-02 10:24:39, Temp: 23.5, Umid: 63.5
[2025-10-02 10:24:54] Dispositivo: Pico W_11f0bb, Leitura: 46, Horario: 2025-10-02 10:24:54, Temp: 25.7, Umid: 55.1
[2025-10-02 10:25:01] Dispositivo: Pico W_11f60f, Leitura: 122, Horario: 2025-10-02 10:25:01, Temp: 23.5, Umid: 63.3
[2025-10-02 10:25:23] Dispositivo: Pico W_11f60f, Leitura: 123, Horario: 2025-10-02 10:25:24, Temp: 23.5, Umid: 63.3
[2025-10-02 10:25:45] Dispositivo: Pico W_11f60f, Leitura: 124, Horario: 2025-10-02 10:25:46, Temp: 23.5, Umid: 63.1
[2025-10-02 10:26:08] Dispositivo: Pico W_11f60f, Leitura: 125, Horario: 2025-10-02 10:26:08, Temp: 23.5, Umid: 62.8
[2025-10-02 10:26:30] Dispositivo: Pico W_11f60f, Leitura: 126, Horario: 2025-10-02 10:26:31, Temp: 23.4, Umid: 62.9
[2025-10-02 10:26:52] Dispositivo: Pico W_11f60f, Leitura: 127, Horario: 2025-10-02 10:26:53, Temp: 23.4, Umid: 63.1
[2025-10-02 10:27:15] Dispositivo: Pico W_11f60f, Leitura: 128, Horario: 2025-10-02 10:27:15, Temp: 23.4, Umid: 63.1
[2025-10-02 10:27:37] Dispositivo: Pico W_11f60f, Leitura: 129, Horario: 2025-10-02 10:27:37, Temp: 23.4, Umid: 63.1
[2025-10-02 10:27:56] Dispositivo: Pico W_11f0bb, Leitura: 47, Horario: 2025-10-02 10:27:56, Temp: 25.7, Umid: 55.1
[2025-10-02 10:27:59] Dispositivo: Pico W_11f60f, Leitura: 130, Horario: 2025-10-02 10:28:00, Temp: 23.4, Umid: 62.8
[2025-10-02 10:28:22] Dispositivo: Pico W_11f60f, Leitura: 131, Horario: 2025-10-02 10:28:22, Temp: 23.4, Umid: 62.7
[2025-10-02 10:28:44] Dispositivo: Pico W_11f60f, Leitura: 132, Horario: 2025-10-02 10:28:44, Temp: 23.4, Umid: 62.8
[2025-10-02 10:29:06] Dispositivo: Pico W_11f60f, Leitura: 133, Horario: 2025-10-02 10:29:07, Temp: 23.4, Umid: 62.9
[2025-10-02 10:29:29] Dispositivo: Pico W_11f60f, Leitura: 134, Horario: 2025-10-02 10:29:29, Temp: 23.4, Umid: 63.3
[2025-10-02 10:29:51] Dispositivo: Pico W_11f60f, Leitura: 135, Horario: 2025-10-02 10:29:51, Temp: 23.4, Umid: 63.1
[2025-10-02 10:30:13] Dispositivo: Pico W_11f60f, Leitura: 136, Horario: 2025-10-02 10:30:14, Temp: 23.4, Umid: 63.3
[2025-10-02 10:30:35] Dispositivo: Pico W_11f60f, Leitura: 137, Horario: 2025-10-02 10:30:36, Temp: 23.4, Umid: 63.2
[2025-10-02 10:30:58] Dispositivo: Pico W_11f60f, Leitura: 138, Horario: 2025-10-02 10:30:58, Temp: 23.4, Umid: 63.4
[2025-10-02 10:30:58] Dispositivo: Pico W_11f0bb, Leitura: 48, Horario: 2025-10-02 10:30:59, Temp: 25.7, Umid: 54.9
[2025-10-02 10:31:20] Dispositivo: Pico W_11f60f, Leitura: 139, Horario: 2025-10-02 10:31:21, Temp: 23.4, Umid: 63.3
