Contagem;Dispositivo;Data_Hora_Coleta;Temperatura_C;Umidade_%
413;Pico W_F0BB;2021-01-01 02:19:30;18.90;88.90
414;Pico W_F0BB;2021-01-01 02:19:51;18.80;88.90
415;Pico W_F0BB;2021-01-01 02:20:11;18.80;89.10
416;Pico W_F0BB;2021-01-01 02:20:31;18.80;89.40
417;Pico W_F0BB;2021-01-01 02:20:52;18.70;89.70
418;Pico W_F0BB;2021-01-01 02:21:12;18.70;89.70
419;Pico W_F0BB;2021-01-01 02:21:32;18.70;89.70
420;Pico W_F0BB;2021-01-01 02:21:52;18.70;89.90
421;Pico W_F0BB;2021-01-01 02:22:13;18.70;89.60
422;Pico W_F0BB;2021-01-01 02:22:33;18.80;89.70
423;Pico W_F0BB;2021-01-01 02:22:53;18.80;89.90
424;Pico W_F0BB;2021-01-01 02:23:14;18.80;89.30
425;Pico W_F0BB;2021-01-01 02:23:34;18.90;88.70
426;Pico W_F0BB;2021-01-01 02:23:54;18.90;88.70
427;Pico W_F0BB;2021-01-01 02:24:15;18.90;88.70
428;Pico W_F0BB;2021-01-01 02:24:35;18.90;88.40
429;Pico W_F0BB;2021-01-01 02:24:55;18.80;88.20
430;Pico W_F0BB;2021-01-01 02:25:16;18.80;88.60
431;Pico W_F0BB;2021-01-01 02:25:36;18.80;88.90
432;Pico W_F0BB;2021-01-01 02:25:56;18.70;89.00
433;Pico W_F0BB;2021-01-01 02:26:16;18.70;89.20
434;Pico W_F0BB;2021-01-01 02:26:37;18.60;89.30
435;Pico W_F0BB;2021-01-01 02:26:57;18.60;89.70
436;Pico W_F0BB;2021-01-01 02:27:17;18.60;90.10
437;Pico W_F0BB;2021-01-01 02:27:38;18.60;90.50
438;Pico W_F0BB;2021-01-01 02:27:58;18.60;90.60
439;Pico W_F0BB;2021-01-01 02:28:18;18.60;90.70
440;Pico W_F0BB;2021-01-01 02:28:39;18.50;90.60
441;Pico W_F0BB;2021-01-01 02:28:59;18.60;90.40
442;Pico W_F0BB;2021-01-01 02:29:19;18.60;90.30
443;Pico W_F0BB;2021-01-01 02:29:39;18.60;90.40
444;Pico W_F0BB;2021-01-01 02:30:00;18.50;90.60
445;Pico W_F0BB;2021-01-01 02:30:20;18.60;91.00
446;Pico W_F0BB;2021-01-01 02:30:40;18.50;91.10
447;Pico W_F0BB;2021-01-01 02:31:01;18.60;91.20
448;Pico W_F0BB;2021-01-01 02:31:21;18.50;91.30
449;Pico W_F0BB;2021-01-01 02:31:41;18.50;91.20
